country_id,date,value
948,1984-01-01,9.7
351,1984-01-01,8.0
43,1984-01-01,5.3
524,1984-01-01,2.0
298,1984-01-01,
257,1984-01-01,-4.7
24,1984-01-01,3.7
738,1984-01-01,
763,1984-01-01,4.3
340,1984-01-01,1.7
39,1984-01-01,8.8
334,1984-01-01,
135,1984-01-01,
558,1984-01-01,0.2
983,1984-01-01,
467,1984-01-01,5.1
71,1984-01-01,
839,1984-01-01,1.7
492,1984-01-01,6.7
162,1984-01-01,-5.6
340,1984-01-01,-3.0
43,1984-01-01,4.3
389,1984-01-01,3.1
643,1984-01-01,-6.5
568,1984-01-01,-6.0
720,1984-01-01,10.0
372,1984-01-01,
269,1984-01-01,3.4
663,1984-01-01,5.8
956,1984-01-01,
203,1984-01-01,5.9
607,1984-01-01,44.1
98,1984-01-01,-5.8
850,1984-01-01,5.7
531,1984-01-01,
765,1984-01-01,
939,1984-01-01,6.8
170,1984-01-01,-3.0
809,1984-01-01,
313,1984-01-01,4.5
721,1984-01-01,1.9
476,1984-01-01,7.2
879,1984-01-01,-1.5
758,1984-01-01,
655,1984-01-01,9.6
372,1984-01-01,5.2
39,1984-01-01,8.4
916,1984-01-01,
698,1984-01-01,
902,1984-01-01,-1.7
515,1984-01-01,
507,1985-01-01,
101,1985-01-01,-1.5
581,1985-01-01,5.6
283,1985-01-01,
383,1985-01-01,3.5
492,1985-01-01,7.6
214,1985-01-01,-7.0
944,1985-01-01,
686,1985-01-01,
145,1985-01-01,5.5
907,1985-01-01,2.2
736,1985-01-01,
201,1985-01-01,4.1
768,1985-01-01,-0.9
286,1985-01-01,3.2
377,1985-01-01,1.1
4,1985-01-01,1.7
587,1985-01-01,1.7
360,1985-01-01,-1.4
473,1985-01-01,4.3
259,1985-01-01,4.3
694,1985-01-01,-1.7
263,1985-01-01,
713,1985-01-01,7.7
108,1985-01-01,7.9
5,1985-01-01,
574,1985-01-01,1.8
467,1985-01-01,11.3
312,1985-01-01,11.8
549,1985-01-01,8.6
366,1985-01-01,
239,1985-01-01,8.1
443,1985-01-01,4.7
560,1985-01-01,3.7
689,1985-01-01,7.9
367,1985-01-01,2.0
441,1985-01-01,13.5
181,1985-01-01,3.1
640,1985-01-01,2.9
135,1985-01-01,0.5
366,1985-01-01,2.4
169,1985-01-01,0.7
815,1985-01-01,
966,1985-01-01,4.7
172,1985-01-01,
79,1985-01-01,3.6
604,1985-01-01,4.0
175,1985-01-01,
683,1985-01-01,1.4
848,1985-01-01,-2.1
852,1985-01-01,4.4
646,1985-01-01,7.4
531,1985-01-01,0.6
217,1985-01-01,12.9
641,1985-01-01,
426,1985-01-01,
625,1985-01-01,1.9
