country_id,date,population,country_id_hash
1484,1990-01-01,69481,17232522
4632,1990-01-01,7129004,18394308
8990,1990-01-01,10449837,78290769
5730,1990-01-01,57214630,60387048
8331,1990-01-01,5367179,19450374
5493,1990-01-01,465549,76654775
1933,1990-01-01,2149960,62208073
4556,1990-01-01,1570674,76324049
2855,1990-01-01,854011,37223699
1077,1990-01-01,47878073,17010357
1812,1990-01-01,2332,12728354
8902,1990-01-01,47479,99789118
2666,1990-01-01,780430,52107209
8325,1990-01-01,4986545,98648627
2491,1990-01-01,56412897,11799999
6137,1990-01-01,113931,15305068
1540,1990-01-01,211089,33477232
9323,1990-01-01,983028,26015852
1968,1990-01-01,1040616,18307709
6192,1990-01-01,5391636,55512115
2447,1990-01-01,79370196,53674746
1680,1990-01-01,15446982,1084582
5059,1990-01-01,27317,43518251
7791,1990-01-01,10302255,77023562
9550,1990-01-01,55599,58937713
1866,1990-01-01,99047,82422330
1376,1990-01-01,391951,82529388
8106,1990-01-01,138263,86045229
8657,1990-01-01,9084780,20945365
9599,1990-01-01,6354145,95923490
5294,1990-01-01,973551,9208023
2843,1990-01-01,747116,78027550
6415,1990-01-01,6925331,34054767
1086,1990-01-01,5053234,54768852
7703,1990-01-01,5838574,29510498
9064,1990-01-01,10375989,36662877
7843,1990-01-01,255019,67436522
7159,1990-01-01,870452165,21648065
3993,1990-01-01,182159874,92838403
7987,1990-01-01,55793629,96306083
3959,1990-01-01,17658381,77675519
7100,1990-01-01,3485374,66414785
3808,1990-01-01,68865,93294090
9089,1990-01-01,4803254,80718860
5288,1990-01-01,56756561,73216586
6674,1990-01-01,2392030,93222457
6552,1990-01-01,123686321,81642360
4363,1990-01-01,3480587,37592621
4450,1990-01-01,16866563,85666628
3754,1990-01-01,23162269,11037852
5939,1990-01-01,75124,54204960
5927,1990-01-01,1674938,59370545
8847,1990-01-01,4394734,49652934
1313,1990-01-01,4314443,28197956
3111,1990-01-01,2689391,18661921
1899,1990-01-01,3593700,49003518
1612,1990-01-01,1798997,34734422
9882,1990-01-01,2209731,41788389
9669,1990-01-01,4236983,64334328
3125,1990-01-01,28765,97262456
9898,1990-01-01,3785847,96392049
7830,1990-01-01,381267,57651871
3497,1990-01-01,11882762,55401267
3592,1990-01-01,9539665,82269717
6262,1990-01-01,17517054,8133617
2701,1990-01-01,224957,6732282
4228,1990-01-01,8945026,67756812
3964,1990-01-01,365392,24357467
8099,1990-01-01,46047,75853003
6596,1990-01-01,374271,50645867
2777,1990-01-01,2006027,42580177
2792,1990-01-01,1090290,48015318
6400,1990-01-01,92659,17842756
9800,1990-01-01,81720428,72918587
8489,1990-01-01,98603,3947657
1367,1990-01-01,4480199,15268947
2641,1990-01-01,30329,8933254
9877,1990-01-01,2161433,16660052
1357,1990-01-01,621442,74713465
6446,1990-01-01,10805,76081666
3324,1990-01-01,24570814,54325268
9850,1990-01-01,13303459,70930221
7797,1990-01-01,40099553,57551901
2703,1990-01-01,1369011,46013951
9288,1990-01-01,9598,30637242
3315,1990-01-01,19616530,86309608
7531,1990-01-01,14944548,69807021
5635,1990-01-01,177264,81836261
1811,1990-01-01,3397389,67448392
6130,1990-01-01,4227820,85492671
1507,1990-01-01,8370647,78601846
4777,1990-01-01,95214257,80293540
7875,1990-01-01,2533,15474886
4718,1990-01-01,20799523,80650558
6127,1990-01-01,2044174,88702694
1019,1990-01-01,48002,35230153
4283,1990-01-01,4241636,69617708
2939,1990-01-01,1804524,64469579
5946,1990-01-01,115414069,30970202
7978,1990-01-01,15293,98058056
2232,1990-01-01,2449968,73261353
6499,1990-01-01,3864972,95471311
8530,1990-01-01,4059195,81581462
2693,1990-01-01,22109099,30489639
1477,1990-01-01,61558898,40403060
7322,1990-01-01,38064255,42556134
4885,1990-01-01,10007346,49672094
7373,1990-01-01,3543776,34938530
3352,1990-01-01,441675,69253153
6771,1990-01-01,22836234,56605532
6070,1990-01-01,148005704,90064085
7426,1990-01-01,7319962,59404664
9065,1990-01-01,5168,40139165
9260,1990-01-01,142301,33207339
7092,1990-01-01,28127,50826289
3283,1990-01-01,168186,7157750
6251,1990-01-01,23132,58059125
7391,1990-01-01,16004763,54707069
5951,1990-01-01,7536001,51153058
1245,1990-01-01,7987529,18329013
3813,1990-01-01,71057,31415778
2946,1990-01-01,4325388,7402128
7069,1990-01-01,3022209,40195874
9088,1990-01-01,27845,90251611
3625,1990-01-01,5261305,68676821
5516,1990-01-01,1986024,57208980
9888,1990-01-01,324171,70675589
6544,1990-01-01,6999096,52370962
6951,1990-01-01,39877570,42463016
7514,1990-01-01,44120039,90076779
1955,1990-01-01,4750817,84805501
7526,1990-01-01,38889889,12701244
7632,1990-01-01,17204094,65636910
4452,1990-01-01,21090886,47917195
9954,1990-01-01,412756,41352220
9171,1990-01-01,8548406,22103137
9995,1990-01-01,6711693,3737103
9598,1990-01-01,12408996,16185412
1623,1990-01-01,20586174,65066037
8108,1990-01-01,5417860,51328176
5605,1990-01-01,26206012,16834609
3514,1990-01-01,55228410,83708293
8258,1990-01-01,758106,41526550
3763,1990-01-01,3875947,91215077
4810,1990-01-01,1669,28417856
7376,1990-01-01,98727,41565817
4402,1990-01-01,1266518,16821368
2097,1990-01-01,8440023,54062275
3095,1990-01-01,54324142,24159972
6898,1990-01-01,3720278,16217600
6928,1990-01-01,9182,6838638
3793,1990-01-01,17586630,71743650
8670,1990-01-01,51589817,5644571
3348,1990-01-01,1900151,55092066
8898,1990-01-01,57210442,3662305
8163,1990-01-01,248083732,23866298
8338,1990-01-01,3117012,81805174
7220,1990-01-01,20579100,30060703
9145,1990-01-01,150882,64742281
4005,1990-01-01,19750579,97660441
6369,1990-01-01,66912613,2524380
7483,1990-01-01,178529,66644440
7872,1990-01-01,13375121,36875289
9480,1990-01-01,7686401,34664177
2658,1990-01-01,10113893,15422656
2050,1995-01-01,16418912,82099438
5181,1995-01-01,3284364,26100560
4586,1995-01-01,28478022,88531968
9350,1995-01-01,53401,10425951
9230,1995-01-01,62928,64265922
9448,1995-01-01,13912253,82060110
5604,1995-01-01,9601,91506655
8745,1995-01-01,68398,4535054
5231,1995-01-01,34946110,40732059
1972,1995-01-01,3322782,93738957
8217,1995-01-01,77050,60617172
7859,1995-01-01,18002999,59491633
5484,1995-01-01,7947296,52291310
2557,1995-01-01,7889330,98711688
3976,1995-01-01,299554,56453427
5160,1995-01-01,612934,80217975
3421,1995-01-01,117793338,42680327
8963,1995-01-01,262303,68313405
4288,1995-01-01,10461696,79052619
2934,1995-01-01,10095198,80959
1945,1995-01-01,203556,47222930
5854,1995-01-01,6046511,12930379
5017,1995-01-01,59465,85701576
5833,1995-01-01,527536,21650059
8863,1995-01-01,7841471,8178979
2086,1995-01-01,3750527,33289842
6025,1995-01-01,1543634,33681694
5643,1995-01-01,108187610,50976533
8750,1995-01-01,17674,9951496
1038,1995-01-01,299097,27446300
4114,1995-01-01,8477579,77504937
3270,1995-01-01,10353263,68944829
5785,1995-01-01,5932783,81655156
1475,1995-01-01,10919528,52106740
2910,1995-01-01,13211647,10540412
4227,1995-01-01,29289423,72666860
5564,1995-01-01,411382,35433607
1710,1995-01-01,32802,667325
1420,1995-01-01,3276706,26243078
9053,1995-01-01,6888856,97319789
8151,1995-01-01,14416796,39935936
4783,1995-01-01,1218144426,31599265
8433,1995-01-01,35970101,30776375
2225,1995-01-01,483760,90211785
1998,1995-01-01,17735,55168376
5481,1995-01-01,3572856,82479466
9225,1995-01-01,4807100,7094523
5830,1995-01-01,10926703,3314720
5520,1995-01-01,862418,88666182
9936,1995-01-01,5235197,11777277
8382,1995-01-01,629619,25239866
1484,1995-01-01,69201,17232522
4632,1995-01-01,7869753,18394308
8990,1995-01-01,11561683,78290769
5730,1995-01-01,64166908,60387048
8331,1995-01-01,5748195,19450374
5493,1995-01-01,560740,76654775
1933,1995-01-01,2157220,62208073
4556,1995-01-01,1452775,76324049
2855,1995-01-01,953573,37223699
1077,1995-01-01,57476536,17010357
1812,1995-01-01,2735,12728354
8902,1995-01-01,43805,99789118
2666,1995-01-01,792246,52107209
8325,1995-01-01,5107943,98648627
