country_id,date,value,country_id_hash
680,1983-01-01,,29582630
16,1983-01-01,4.0,41938095
427,1983-01-01,15.9,15671395
282,1983-01-01,6.8,93837253
356,1983-01-01,,71761777
900,1983-01-01,-4.5,23044717
205,1983-01-01,3.4,18531689
644,1983-01-01,-3.0,63043804
61,1983-01-01,-9.3,20435857
256,1983-01-01,1.9,94018219
616,1983-01-01,5.6,33991446
775,1983-01-01,1.0,79084240
913,1983-01-01,0.5,28657411
587,1983-01-01,-5.3,71578930
465,1983-01-01,6.0,69147221
982,1983-01-01,,97967226
883,1983-01-01,6.0,66719615
948,1983-01-01,-2.1,34145243
351,1983-01-01,4.1,32914211
43,1983-01-01,3.2,71836555
524,1983-01-01,0.5,71286120
298,1983-01-01,,48636552
257,1983-01-01,-16.1,12951241
24,1983-01-01,-5.3,64218719
738,1983-01-01,,18311676
763,1983-01-01,-0.6,93382838
340,1983-01-01,-1.6,72545627
39,1983-01-01,8.6,54218556
334,1983-01-01,,45114489
135,1983-01-01,,71792468
558,1983-01-01,3.9,70078248
983,1983-01-01,,60689257
467,1983-01-01,-1.8,53021696
71,1983-01-01,,90101268
839,1983-01-01,1.7,71448315
492,1983-01-01,3.3,81801560
162,1983-01-01,-1.5,54790051
340,1983-01-01,-5.1,72545627
43,1983-01-01,2.1,71836555
389,1983-01-01,0.6,33478187
643,1983-01-01,1.6,79648704
568,1983-01-01,-3.9,64731112
720,1983-01-01,9.0,9348887
372,1983-01-01,,63171500
269,1983-01-01,2.4,61338997
663,1983-01-01,5.6,59404558
956,1983-01-01,,2608017
203,1983-01-01,-5.2,17739986
607,1983-01-01,5.8,76135334
98,1983-01-01,-10.3,46305738
850,1983-01-01,4.7,3985206
531,1983-01-01,,15428775
765,1983-01-01,,57282382
939,1983-01-01,4.8,30576306
170,1983-01-01,4.9,10315112
809,1983-01-01,,49251654
313,1983-01-01,-5.2,58384674
721,1983-01-01,3.9,3080831
476,1983-01-01,4.6,59885057
879,1983-01-01,-5.9,78755218
758,1983-01-01,,64100421
655,1983-01-01,3.0,7577402
372,1983-01-01,-9.9,63171500
39,1983-01-01,7.1,54218556
916,1983-01-01,,95082108
698,1983-01-01,,54064197
902,1983-01-01,-1.1,39900920
515,1983-01-01,,97595539
507,1984-01-01,,88466734
101,1984-01-01,2.0,33791314
581,1984-01-01,5.6,69873062
283,1984-01-01,,5892424
383,1984-01-01,6.0,84145927
492,1984-01-01,10.2,81801560
214,1984-01-01,2.0,25426021
944,1984-01-01,,80560406
686,1984-01-01,,90452541
145,1984-01-01,6.3,20560328
907,1984-01-01,0.3,8220049
736,1984-01-01,,76220858
201,1984-01-01,2.4,70083219
768,1984-01-01,4.2,86898080
286,1984-01-01,5.2,85511984
377,1984-01-01,3.6,76898047
4,1984-01-01,3.0,6361900
587,1984-01-01,2.5,71578930
360,1984-01-01,11.3,97957390
473,1984-01-01,0.4,88595042
259,1984-01-01,7.6,4053751
694,1984-01-01,-0.2,87749401
263,1984-01-01,,64879567
713,1984-01-01,6.5,96081803
108,1984-01-01,5.3,84398603
5,1984-01-01,,70900693
574,1984-01-01,4.6,80278245
467,1984-01-01,1.6,53021696
